post_id,filename,description,likes,comments,views
"1194426723427578056","2016-02-27_1194426723427578056.jpg","Top diamond and middle helix (purple) done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #nofilter #girlswithpiercings","7","0","0"
"1197234497530261586","2016-03-02_1197234497530261586.jpg","Got the privlage of nestleing this beautiful cartilage piercing in the divet of her outer helix done at #albanymodernbodyart by #GinaCarbonePiercings #Piercing #PublishedPiercer #BodyModification #TragicEmpire #impactalbany #nofilter #girlswithpiercings","5","0","0"
"1197366770451772237","2016-03-02_1197366770451772237.jpg","Miss @mia9706 new prong set studs. Done at #albanymodernbodyart by #piercing_by_gina. #piercings #nofilter #girlswithpiercings #impactalbany #tragicempire #publishedpiercer #professionalpiercings","9","0","0"
"1199568845709406405","2016-03-06_1199568845709406405.jpg","Conch piercing done on @d3v3ls3y3s24 done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #tragicempire #girlswithpiercings #piercings","9","1","0"
"1203255125207053009","2016-03-11_1203255125207053009.jpg","Double cartilage done at #albanymodernbodyart by #piercing_by_gina #impactalbany #publishedpiercer #professionalpiercings #girlswithpiercings #tragicempire","5","0","0"
"1204672670782878408","2016-03-13_1204672670782878408.jpg","Daith piercing done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #girlswithpiercings #impactalbany #tragicempire","2","0","0"
"1204674105545224946","2016-03-13_1204674105545224946.jpg","3rd hole done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #girlswithpiercings #impactalbany #tragicempire","1","0","0"
"1204674524472308476","2016-03-13_1204674524472308476.jpg","3rd hole done matching side","3","0","0"
"1204688525067448557","2016-03-13_1204688525067448557.jpg","Daith done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #impactalbany #nurses #nofilter #tragicempire","4","0","0"
"1204689432278626567","2016-03-13_1204689432278626567.jpg","Daith done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #nurses #nofilter #impactalbany #tragicempire #girlswithpiercings","6","0","0"
"1208091273179853751","2016-03-17_1208091273179853751.jpg","This speaks so loudly to my heart. Please think before getting pierced.","16","0","0"
"1214001319449359105","2016-03-25_1214001319449359105.jpg","Daith piercing done at #albanymodernbodyart by #piercing_by_gina #publishedpiercer #professionalpiercings #girlswithpiercings #tragicempire #impactalbany","8","0","0"
